ID,B1,B2,B3,B4,I1,I2,I3,I4,I5,I6,P1,P2,P3,P4
1,0,0,2,1,2,1,2,0,3,2,3,3,,
2,0,0,0,0,0,0,1,1,3,2,3,3,,
3,0,0,0,0,0,0,0,0,0,2,2,2,,
4,0,0,2,0,0,0,1,0,3,2,1,0,,
5,0,0,0,0,0,0,1,3,2,2,3,3,,
6,0,0,0,0,1,2,2,2,3,3,3,2,,
7,0,0,0,0,0,0,0,0,3,3,3,3,,
8,0,0,0,0,0,0,0,0,0,0,1,1,,
9,0,0,0,0,0,0,1,0,2,2,2,3,,
10,1,0,0,0,0,0,1,2,2,3,3,3,,
11,1,1,0,0,1,1,1,0,1,1,0,2,,
12,1,0,0,2,1,0,3,3,1,3,3,3,,
13,1,0,0,0,1,3,1,0,3,2,3,3,,
14,1,0,0,0,0,0,1,0,1,1,1,3,,
15,,,0,0,0,0,1,0,1,0,0,0,0,0
16,,,0,0,0,0,1,2,1,3,3,3,2,3
17,,,0,0,0,0,0,0,0,0,0,0,0,0
18,,,0,0,1,0,1,1,0,1,0,1,0,3
19,,,0,0,0,1,1,1,3,2,3,3,3,3
20,,,0,0,0,0,0,0,0,0,0,0,0,0
21,,,0,0,1,1,0,2,2,3,3,1,3,3
22,,,1,0,0,1,1,1,3,2,3,2,3,3
23,,,0,1,0,0,1,1,2,2,3,3,3,3
24,,,0,0,0,0,0,0,0,2,2,0,3,2
25,,,0,0,0,0,0,0,0,0,0,0,0,1
26,,,0,0,1,1,3,2,2,3,3,3,3,3
27,,,0,0,0,0,0,0,2,1,0,2,0,2
28,,,0,0,0,1,0,1,1,1,0,2,2,2
29,,,0,0,1,0,1,1,1,0,1,3,2,1
30,,,0,0,0,0,0,0,1,2,3,2,2,1
31,,,0,0,0,0,0,0,2,3,3,3,3,3
32,,,0,0,0,0,0,0,1,0,0,2,0,0
33,,,0,0,0,0,0,0,1,0,1,0,0,0
34,,,0,0,0,0,2,3,2,3,3,3,3,3
